genename,F1,F2,F3,F4,F5,F6,F7,S1,S2,S3,S4,S5,S6,S7,Space
uba3,0.989422613,2.25099821,0.917856676,0,3.416578179,0.465216622,0,3.60629914,3.17072364,2.66730533,3.152673887,3.340934675,3.582500752,3.632453126,0
scrn3,0.133949594,0.018455489,0.068119459,0,0.261779533,0,0.307153744,1.876961122,1.297047686,1.161304697,1.200282026,1.516977876,1.796073066,1.630913474,0
pdia6,6.063563843,5.00675014,5.556776417,5.962371398,3.837976801,3.819964136,1.508811321,4.9440425,9.766484264,7.887557172,7.793197806,8.509161776,7.977635899,8.147204305,0
krt2,5.649925789,5.180916798,2.017159907,2.116257188,3.147381076,1.496198861,1.638724438,1.826867109,0.344905104,1.821075961,0.3788649,1.583127064,2.648183518,0.383684763,0
fubp1,0.611786212,1.581479998,0.671686428,0.541268725,0.544145819,0.360332909,0.722548847,1.871439871,1.202366518,2.160071737,1.747283957,0.976513176,1.032147392,1.038593099,0
dnpep,2.532867532,2.265392295,2.146729635,1.305101087,1.854864681,2.510609588,0.614337235,8.281245413,7.383848016,7.411411916,8.279350739,6.575395081,7.001311834,7.975438556,0
psmd1,0.305992487,0.942007344,0.681510078,0.545493451,0.491075948,0.246486022,0.919377961,3.445354967,2.875312172,3.169076547,3.145813105,2.662708248,2.717470121,3.388772877,0
rab31,0.951987661,0.448291709,1.107207303,1.529095855,1.282126386,0.660028553,0,0.51947196,0.630006413,0.636752754,0.594316365,0.690687405,0.58864623,0.688717438,0
slc17a7,4.999852806,6.673255822,4.715350665,4.503790163,3.8415748,2.584865411,7.369772326,6.545578088,11.21511093,19.6712467,13.48008899,7.505471198,5.163671188,8.189865761,0
stxbp6,0.428520938,2.003244723,0.700506246,0.529973943,0.926426606,0,0.817785444,0.91167342,0.47641523,0.631449791,0.37312441,0.286318167,0.228080863,0.34224021,0
rab15,12.93947003,35.07597122,31.41598944,19.7091425,4.79888459,14.52136062,16.66068428,43.75112816,35.76082291,45.54959535,43.44640118,32.26279128,31.20795382,37.46268786,0
trappc9,0.693399886,0.064703119,1.256689255,1.491894888,4.857879015,0.427741402,0,1.545993793,2.273797351,2.261991382,2.426846419,2.361252264,2.16618776,2.480831137,0
khsrp,1.693245036,5.018800262,2.933764731,2.183291129,1.733323466,1.799336116,3.032926382,5.775585035,3.192976667,4.488473732,4.461777678,3.779993067,3.810200475,3.56676976,0
prxl2a,7.017300282,3.612750273,6.351458185,2.035603576,6.187852586,5.844113454,0,0.577629505,1.571946799,1.58675474,1.465153134,1.213677082,1.108768848,1.352690586,0
ddb1,0.550822604,1.382337855,1.177412572,1.031111371,0.24094819,0.590098285,0.907524822,3.64249782,3.195505469,3.183333253,3.193300248,3.241674654,3.388156409,3.475978882,0
hspa4,1.350100934,2.257613582,2.07175924,1.895160641,1.483623964,1.456373363,1.186742766,9.893431335,9.030038971,9.186064629,9.662289629,9.168154621,9.201460953,9.323739537,0
nudt18,0.539181636,0.653410549,0.720751103,0.753969756,0.566275649,0.451727759,0,1.695355866,1.610805771,1.264099031,1.442220221,1.599218294,1.866816184,1.660357843,0
bckdha,0.761067106,1.247110641,1.571553551,1.952521602,1.162432799,0.463509098,0.675300687,0.867884691,2.646905015,1.998698134,1.469283143,2.374929759,1.544344679,1.218976875,0
hectd3,0.69566796,0.754713522,0.486931974,1.329683681,0.679761265,0.549130552,0,0.865208849,0.613197151,0.867978254,0.910500496,0.529763422,0.669673344,0.569887329,0
usp5,4.028261543,5.220535938,4.694911263,4.274246913,3.984691793,3.776226334,3.267901404,36.13721094,28.7852256,28.87641591,31.43180631,34.52928558,36.17485961,35.57230295,0
cmpk2,0.315942963,0.313390388,0.38345309,0.335968319,0.206815386,0.15792584,0.434934556,0.848052159,1.200935854,1.399775228,1.567264394,0.741471324,0.87513076,0.941479897,0
ddx17,2.775752708,8.222839484,5.740879809,4.337853614,3.693073277,3.486788054,3.789140608,1.115296658,1.223110376,1.287643323,1.259022097,0.858359059,0.778991793,1.021739101,0
abhd4,0.823171432,0.352161551,0.711657542,0.513439941,0.343781655,0.294829867,0,0.79707966,0.880674926,0.561882037,1.068961082,0.625850562,0.679578027,0.837578249,0
esyt1,2.927747664,2.485459182,4.951551654,5.919171991,3.668969074,2.657150272,0,0.27991099,0.675848278,0.438369488,0.467027832,0.629785608,0.462921329,0.309481356,0
poldip3,2.337857106,1.052722466,0.952090292,0.54614777,0.415490369,0.608077925,0.668853105,0.199353224,0.112054623,0.066955738,0.103507707,0.050626192,0.089949258,0.107281427,0
xpnpep1,1.218766589,1.384249512,1.232161664,1.936062758,1.254883658,1.324415665,0.976459968,7.532049441,8.629240184,6.952223489,7.683541959,8.44381044,8.272289704,8.224353416,0
puf60,3.779216173,5.070110014,4.181577891,3.060974584,3.484319474,3.551794439,1.464894486,1.951371144,1.674416341,1.556404692,2.210824677,1.568417636,1.681342206,2.080860783,0
bag6,0.770918634,0.837893394,0.948097651,1.093450781,0.624575437,0.955324995,0.271470408,1.376325339,1.436510599,1.664538183,1.950785891,1.978437536,1.651400738,1.926563034,0
dazap1,1.419175959,2.855999067,1.312074081,2.065196066,3.038847074,0.846030493,0.887190648,1.122268469,0.684317822,1.073272942,0.82510494,0.568372484,0.638589928,0.570965628,0
eif3j1,1.075616492,1.211781087,0.749454842,0.707984398,1.324774701,1.04373933,0.589689988,1.458046548,1.864642843,1.556766353,1.866647434,1.855894868,1.602611859,1.631006839,0
hdhd2,1.265525757,0.326994545,0.606217879,0.232086328,0.591706097,0.646871325,0,4.230314395,5.529756706,4.245399601,4.390223802,5.591888846,5.427830985,5.080253083,0
sptb,0.381845191,1.432540377,1.182400437,0.976003054,0.674087395,0.639070424,0.531887024,0.147085256,0.126004311,0.213174273,0.196050084,0.089446695,0.125627334,0.175823275,0
nat8l,0,1.471624521,1.663740943,0.868299506,0.860543662,0.245806246,0,1.389145857,1.341455647,1.445087418,1.455478769,0.830786561,1.046811398,1.061596641,0
arfgef3,0.145461875,0.56724804,0.773731149,0.671924047,0.545736715,0.739638642,0.202590736,0.724787943,0.594418374,0.7658678,0.853151756,0.97486282,0.99566657,0.94082563,0
myh10,7.063688214,9.464454989,8.10115672,7.585440346,6.374893204,7.286278897,4.254084199,6.894838893,8.879614423,11.14981344,10.42203331,9.016996547,6.822053472,8.474854431,0
dip2b,0.466865092,0.614892681,0.522910027,0.476953055,0.436204366,0.310438908,0.326420343,1.406757177,1.048100181,1.184160967,1.492293831,1.116873666,1.33745778,1.357643094,0
nt5dc3,0.475171516,1.56914326,1.168454919,0.979090077,0.722807085,0.491615447,0.778627116,1.161578465,2.125581723,2.284374255,2.42505831,1.548295458,1.362631242,1.572328262,0
ccdc177,0.802476442,0.454523936,0.472694814,0.252464841,0.482082134,0.343075977,0.25572579,0.170433982,0.119617114,0.262362833,0.184000715,0.127561041,0.097203989,0.212773892,0
snx27,1.137701318,1.604658429,1.619831257,1.443452469,1.756980538,0.862449368,0.763903743,2.253561429,2.241155815,2.344813414,2.439245349,1.638905362,1.974931364,2.447981212,0
agap2,0.994893349,1.533167185,1.021857254,0.515490039,0.564186625,1.663521895,0.776014648,0.982873112,0.976274859,1.332424412,1.6606183,1.311173463,1.300167922,1.674987074,0
aak1,3.665135743,4.542828358,4.110867803,3.395695652,2.833331172,3.433367042,2.366511598,7.16687322,6.65396379,7.99044884,9.540112569,7.390941221,7.048082042,7.310539405,0
camkv,1.730870518,1.114508841,1.21795783,0.800291867,0.882605537,1.642869172,1.498440163,8.183986729,5.367224259,5.698386138,5.155577546,6.459643575,6.389897699,6.959992167,0
pdap1,1.040268185,1.627612316,0.874438029,0.52980301,0.893631518,0.105290764,1.749439845,2.960753074,1.447134467,3.013134821,2.443397613,1.366219906,1.534239207,1.762037315,0
smarcc2,0.245113635,0.645144462,0.39314477,0.493932176,0.745829308,0.350440252,0.304551738,0.444138353,0.245187925,0.346004015,0.404785101,0.33543814,0.324400291,0.383221613,0
sf3b2,1.73724883,5.411396947,2.689466671,2.568768729,2.056238444,2.872391432,3.206215322,1.050855906,0.847830497,1.164452616,1.271488142,1.283827754,1.098938487,1.344259055,0
rmdn3,0.664848794,0.776921526,1.868715575,1.580108484,1.080083297,0.641300372,0,0.155987468,0.172533197,0.119046069,0.11231189,0.073272435,0.138426477,0.16805016,0
mccc2,2.058459721,2.496739637,1.544492443,1.238372835,0.672423246,0.887094416,0,2.078228188,3.192383487,3.167497741,2.801431237,2.107617279,2.19899648,2.328412006,0
gpd1l,0.52372666,1.241893185,0.69264689,0.936906043,0.382940481,0.37279014,0.808153497,6.685583592,4.829840851,5.424708458,4.949845452,5.775251478,5.159217035,5.422900604,0
ppp1r7,2.090382191,2.643283653,2.900953186,2.012452554,1.884067131,2.273649606,0.905080309,16.34791936,11.4908645,10.249761,12.87615184,13.11216213,14.75106953,15.52302677,0
